shotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,Goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,Period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,Shooter Name,Shooter Position,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,Shot Angle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,Shot Distance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,speedFromLastEvent,Team,Team Code,Time,timeDifferenceSinceChange,timeSinceFaceoff,timeSinceLastEvent,timeUntilNextEvent,xCord,xCordAdjusted,xFroze,Probability of Goal,xPlayContinuedInZone,xPlayContinuedOutsideZone,xPlayStopped,xRebound,xShotWasOnGoal,yCord,yCordAdjusted
37989,5.830951895,86,86,-5,5,0,0,120,99,4,NSH,0,37.75,54.5,21,21,21,21,2,2,88,88,21,21,21,21,21,21,21,21,21,21,120.8801059,MISS,20447,0,8477424,Juuse Saros,0,120,99,4,CAR,3,1,219,1,0,GIVE,0,0,AWAY,-30,-30,29,29,AWAYZONE,0,2,24,0,C,2025,R,Seth Jarvis,Forward,8482093,27,21,44,61.5,21,26.5,21,21,2,2,63,63,21,27,21,21,26,60,21,26,21,21,-59.03624347,59.03624347,0,0,0,5.830951895,0,0,0,0,1,0,0,0,DEFL,0,120.8801059,HOME,CAR,2085,0,21,1,19,86,86,0.183408168,0.138476729,0.276796302,0.320300901,0.02411798,0.05689993,0.82766,-5,-5
82899,40,-61,61,-28,28,28.4,0,0,0,5,CAR,2,35.8,35.5,35.5,36,36,35.8,2,3,42,36,36,42,42,42,28,35,35,28,28,28,93.00537619,SHOT,20972,0,8480947,Kevin Lankinen,0,0,0,5,VAN,2,0,135,0,0,TAKE,0,0,AWAY,28,-28,-1,1,HOMEZONE,0,2,50,0,L,2025,L,Eric Robinson,Forward,8480762,80,80,64.2,40.5,40.5,80,80,64.2,2,3,80,80,80,80,80,80,1,1,1,80,80,1,45,45,0,0,0,39.59797975,0,0,0,0,1,0,0,0,SNAP,1,93.00537619,AWAY,CAR,1430,-27,80,1,13,-61,61,0.233088,0.0206782,0.317716,0.384679,0.0164957,0.0273437,0.844942,-28,28
56299,12.52996409,-78,78,6,6,-38.2,0,0,0,5,CAR,2,44.4,40,40,47.33333333,47.33333333,44.4,2,3,50,40,40,50,50,50,40,40,40,45,45,40,89.35882721,GOAL,20660,1,8474596,Jake Allen,0,0,0,5,NJD,1,0,275,0,0,TAKE,0,0,AWAY,-2,2,-41,41,HOMEZONE,0,3,22,0,C,2025,R,Logan Stankoven,Forward,8482702,3,3,6.2,4.5,4.5,7.333333333,7.333333333,6.2,2,3,16,5,5,16,16,16,3,4,4,3,3,3,-28.61045967,28.61045967,0,0,0,12.52996409,0,0,0,0,0,0,0,0,WRIST,1,89.35882721,AWAY,CAR,3136,-37,106,1,0,-78,78,0.187306,0.163395,0.323502,0.224697,0.015976,0.0851245,0.915142,6,-6
67940,83,-17,17,-41,41,6.6,0,0,0,5,CHI,0,32.4,22.5,22.5,39,39,32.4,2,3,39,39,39,39,39,39,6,6,6,39,39,6,87.98295289,SHOT,20796,0,8481519,Spencer Knight,0,0,0,5,CAR,0,0,25,1,0,HIT,0,0,AWAY,29,-29,34,-34,Neu. Zone,0,1,82,0,C,2025,L,Jesperi Kotkaniemi,Forward,8480829,39,39,53,74,39,39,39,39,2,3,75,75,39,39,39,39,39,73,39,39,39,39,29.65910924,29.65910924,0,0,0,82.85529555,0,0,0,0,1,0,0,0,WRIST,1,87.98295289,HOME,CAR,188,33,39,1,31,-17,17,0.12488,0.00560671,0.393013,0.446128,0.0239256,0.00644726,0.869716,-41,41
49425,70,-28,28,35,35,20.2,0,0,0,5,FLA,0,20.8,22,22,20,20,20.8,2,3,23,23,23,23,23,23,17,21,21,17,17,17,85,MISS,20581,0,8475683,Sergei Bobrovsky,0,0,0,5,CAR,1,0,61,1,0,HIT,0,0,AWAY,-68,68,-40,40,AWAYZONE,0,1,26,0,D,2025,R,Sean Walker,Defenseman,8480336,59,41,48.2,59,41,41,41,41,2,3,59,59,41,41,41,41,41,59,41,41,41,41,-29.84593195,29.84593195,0,0,0,70.32780389,0,0,0,1,0,0,0,0,SNAP,0,85,HOME,CAR,616,24,41,1,21,-28,28,0.217664,0.01038,0.408953,0.325846,0.0213722,0.0157849,0.766386,35,-35
63946,4.472135955,-87,87,4,4,0,0,0,0,5,FLA,0,22,24.5,15,20.33333333,15,15,2,3,31,25,15,31,15,15,15,24,15,15,15,15,81.3019065,SHOT,20750,0,8475683,Sergei Bobrovsky,0,0,0,5,CAR,0,1,33,1,0,HIT,0,0,AWAY,-18,18,-39,39,AWAYZONE,1,1,11,0,C,2025,L,Jordan Staal,Forward,8473533,15,15,15,15,15,15,15,15,2,3,15,15,15,15,15,15,15,15,15,15,15,15,-63.43494882,63.43494882,0,0,0,4.472135955,0,0,0,1,0,0,0,0,BACK,1,81.3019065,HOME,CAR,217,0,15,1,21,-87,87,0.261591815,0.134944326,0.299081262,0.19608778,0.014745707,0.09354911,0.931165,4,-4
64808,89,0,0,0,0,0,0,0,0,5,CAR,3,34,34,34,34,34,34,2,3,34,34,34,34,34,34,34,34,34,34,34,34,81.05553652,SHOT,20759,0,8474593,Jacob Markstrom,0,0,0,5,NJD,1,0,285,0,0,BLOCK,0,0,AWAY,-81,-81,-3,-3,HOMEZONE,0,3,11,0,C,2025,L,Jordan Staal,Forward,8473533,34,34,34,34,34,34,34,34,2,3,34,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,89,0,0,0,1,0,0,0,0,SNAP,1,81.05553652,AWAY,CAR,3289,0,34,1,11,0,0,0,0.065233,0,0,0,0,0,0,0
72423,64,-30,30,24,24,0,0,0,0,5,UTA,3,22.2,10,10,30.33333333,10,10,2,3,47,10,10,47,10,10,10,10,10,17,10,10,78.77182237,MISS,20851,0,8478872,Karel Vejmelka,0,0,0,5,CAR,2,1,265,1,0,GIVE,0,0,AWAY,-99,99,-14,14,AWAYZONE,1,3,21,0,D,2025,L,Alexander Nikishin,Defenseman,8482100,27,10,18.8,27.5,10,13,10,10,2,3,28,28,10,15,10,10,10,27,10,10,10,10,-22.13549188,22.13549188,0,0,0,63.69458376,0,0,0,0,1,0,0,0,SNAP,0,78.77182237,HOME,CAR,2815,0,10,1,16,-30,30,0.22529,0.0294128,0.416347,0.268325,0.0166146,0.04401,0.6736,24,-24
57139,20,-69,69,3,3,0,0,0,0,5,DAL,0,6.8,5,5,8,5,5,2,3,10,5,5,10,5,5,5,5,5,5,5,5,77.41446893,MISS,20671,0,8479979,Jake Oettinger,0,0,0,5,CAR,0,1,46,1,0,TAKE,0,0,HOME,-1,1,-34,34,AWAYZONE,1,1,27,0,L,2025,L,Nikolaj Ehlers,Forward,8477940,5,5,5,5,5,5,5,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,-8.53076561,8.53076561,0,0,0,20.22374842,1,0,0,0,0,0,0,0,SNAP,0,77.41446893,HOME,CAR,416,0,5,1,2,-69,69,0.165903,0.259653,0.285406,0.219332,0.0137146,0.0559913,0.887437,3,-3
51706,70,-27,27,33,33,1.2,0,0,0,5,NYR,1,13.8,15,15,13,13,13.8,2,3,15,15,15,15,15,15,9,15,15,9,9,9,76.21679605,SHOT,20608,0,8478048,Igor Shesterkin,0,0,0,5,CAR,0,1,82,1,0,TAKE,0,0,HOME,-99,99,8,-8,AWAYZONE,0,1,64,0,D,2025,R,Joel Nystrom,Defenseman,8482911,15,15,15,15,15,15,15,15,2,3,15,15,15,15,15,15,15,15,15,15,15,15,-28.02450053,28.02450053,0,0,0,70.23531875,0,1,0,0,0,0,0,0,SLAP,1,76.21679605,HOME,CAR,681,6,15,1,2,-27,27,0.187547,0.0182931,0.42399,0.312322,0.014172,0.0436751,0.712352,33,-33
